subject,stimulus,response,reactionTime
pot_pat,"4,3",same,2.6738529205322266
pot_pat,"7,7",same,2.2898480892181396
pot_pat,"7,5",same,2.1353399753570557
pot_pat,"2,7",diff,2.569216012954712
pot_pat,"3,4",same,3.4665400981903076
pot_pat,"1,3",diff,2.78764009475708
pot_pat,"2,1",diff,2.819561004638672
pot_pat,"4,2",diff,3.346173048019409
pot_pat,"6,5",same,28.18009305000305
pot_pat,"3,2",diff,2.4577910900115967
pot_pat,"7,2",diff,2.2869131565093994
pot_pat,"6,6",same,2.5519211292266846
pot_pat,"4,5",same,2.4006898403167725
pot_pat,"7,1",diff,2.496073007583618
pot_pat,"4,6",same,2.789854049682617
pot_pat,"2,2",diff,2.553668975830078
pot_pat,"5,3",diff,2.721604108810425
pot_pat,"3,3",same,2.4951348304748535
pot_pat,"3,5",same,2.272658109664917
pot_pat,"1,2",same,2.9772579669952393
pot_pat,"1,1",diff,3.1891140937805176
pot_pat,"5,4",same,2.786468982696533
pot_pat,"7,6",diff,2.74753999710083
pot_pat,"6,4",same,2.5765631198883057
pot_pat,"5,6",same,3.6280179023742676
pot_pat,"5,7",same,3.1457178592681885
pot_pat,"2,3",diff,2.520437002182007
pot_pat,"6,7",diff,2.3766238689422607
pot_pat,"5,5",same,2.9977469444274902
pot_pat,"4,4",same,2.9368021488189697
pot_pat,"3,1",diff,2.207828998565674
pot_pat,"2,4",diff,2.3997509479522705
pot_pat,"1,7",diff,2.0658719539642334
